league,name,hex,rgb,cmyk
nhl,Minnesota Wild,"['154734', 'ddcba4', 'eaaa00', 'a6192e']","['21 71 52', '221 203 164', '234 170 0', '166 25 46']","['70.42253521126759 0.0 26.760563380281717 0.7215686274509804', '0.0 8.144796380090506 25.791855203619907 0.1333333333333333', '0.0 27.350427350427353 100.0 0.08235294117647063', '0.0 84.93975903614458 72.28915662650603 0.34901960784313724']"
nhl,Montreal Canadiens,"['001e62', 'a6192e']","['0 30 98', '166 25 46']","['100.0 69.3877551020408 0.0 0.615686274509804', '0.0 84.93975903614458 72.28915662650603 0.34901960784313724']"
nhl,Nashville Predators,"['041e42', 'ffb81c']","['4 30 66', '255 184 28']","['93.93939393939395 54.54545454545453 0.0 0.7411764705882353', '0.0 27.84313725490196 89.01960784313725 0.0']"
nhl,New Jersey Devils,"['010101', 'c8102e']","['1 1 1', '200 16 46']","['0.0 0.0 0.0 0.996078431372549', '0.0 92.0 77.0 0.21568627450980393']"
nhl,New York Islanders,"['003087', 'fc4c02']","['0 48 135', '252 76 2']","['100.0 64.44444444444444 0.0 0.47058823529411764', '0.0 69.84126984126983 99.20634920634922 0.0117647058823529']"
nhl,New York Rangers,"['0033a0', 'c8102e']","['0 51 160', '200 16 46']","['100.0 68.125 0.0 0.37254901960784315', '0.0 92.0 77.0 0.21568627450980393']"
nhl,Ottawa Senators,"['010101', 'c8102e', 'c69214']","['1 1 1', '200 16 46', '198 146 20']","['0.0 0.0 0.0 0.996078431372549', '0.0 92.0 77.0 0.21568627450980393', '0.0 26.26262626262627 89.89898989898991 0.22352941176470587']"
nhl,Philadelphia Flyers,"['010101', 'fa4616']","['1 1 1', '250 70 22']","['0.0 0.0 0.0 0.996078431372549', '0.0 72.0 91.19999999999999 0.019607843137254943']"
nhl,Pittsburgh Penguins,"['010101', 'ffb81c']","['1 1 1', '255 184 28']","['0.0 0.0 0.0 0.996078431372549', '0.0 27.84313725490196 89.01960784313725 0.0']"
nhl,San Jose Sharks,"['010101', 'e57200', '006272']","['1 1 1', '229 114 0', '0 98 114']","['0.0 0.0 0.0 0.996078431372549', '0.0 50.21834061135372 100.0 0.10196078431372546', '100.0 14.035087719298248 0.0 0.5529411764705883']"
nhl,St Louis Blues,"['041e42', 'ffb81c', '003087']","['4 30 66', '255 184 28', '0 48 135']","['93.93939393939395 54.54545454545453 0.0 0.7411764705882353', '0.0 27.84313725490196 89.01960784313725 0.0', '100.0 64.44444444444444 0.0 0.47058823529411764']"
nhl,Tampa Bay Lightning,['00205b'],['0 32 91'],['100.0 64.83516483516483 0.0 0.6431372549019607']
nhl,Toronto Maple Leafs,['00205b'],['0 32 91'],['100.0 64.83516483516483 0.0 0.6431372549019607']
nhl,Vancouver Canucks,"['00205b', '97999b', '041c2c']","['0 32 91', '151 153 155', '4 28 44']","['100.0 64.83516483516483 0.0 0.6431372549019607', '2.5806451612903136 1.2903225806451568 0.0 0.3921568627450981', '90.90909090909093 36.36363636363635 0.0 0.8274509803921568']"
nhl,Vegas Golden Knights,"['010101', 'b4975a', '333f42']","['1 1 1', '180 151 90', '51 63 66']","['0.0 0.0 0.0 0.996078431372549', '0.0 16.111111111111114 49.99999999999999 0.2941176470588235', '22.727272727272734 4.54545454545453 0.0 0.7411764705882353']"
nhl,Washington Capitals,"['041e42', 'a2aaad', '782f40', 'a6192e', '53565a']","['4 30 66', '162 170 173', '120 47 64', '166 25 46', '83 86 90']","['93.93939393939395 54.54545454545453 0.0 0.7411764705882353', '6.3583815028901824 1.7341040462427848 0.0 0.32156862745098036', '0.0 60.83333333333333 46.666666666666664 0.5294117647058824', '0.0 84.93975903614458 72.28915662650603 0.34901960784313724', '7.777777777777811 4.444444444444459 0.0 0.6470588235294117']"
nhl,Winnipeg Jets,"['041e42', 'c8102e']","['4 30 66', '200 16 46']","['93.93939393939395 54.54545454545453 0.0 0.7411764705882353', '0.0 92.0 77.0 0.21568627450980393']"
